,产品1,产品2,关联度
159,ID271,ID373,3
160,ID271,ID394,10
161,ID341,ID271,6
162,ID341,ID373,109
163,ID341,ID394,101
164,ID373,ID191,12
165,ID373,ID271,3
166,ID373,ID341,109
167,ID394,ID191,6
168,ID394,ID271,10
169,ID394,ID341,101
170,ID7,ID263,4
171,ID263,ID7,4
172,ID394,ID457,1
173,ID457,ID394,1
174,ID96,ID394,11
175,ID371,ID394,36
176,ID394,ID96,11
177,ID394,ID371,36
178,ID369,ID371,8
179,ID369,ID394,13
180,ID371,ID369,8
181,ID394,ID369,13
182,ID178,ID371,3
183,ID371,ID178,3
184,ID7,ID246,1
185,ID7,ID487,170
186,ID246,ID7,1
187,ID487,ID7,170
188,ID33,ID263,2
189,ID263,ID33,2
190,ID16,ID415,1
191,ID415,ID16,1
192,ID7,ID133,4
193,ID133,ID7,4
194,ID369,ID465,3
195,ID465,ID369,3
196,ID358,ID394,2
197,ID394,ID358,2
198,ID234,ID483,1
199,ID483,ID234,1
200,ID369,ID395,3
201,ID395,ID369,3
202,ID371,ID373,25
203,ID373,ID371,25
204,ID175,ID394,1
205,ID394,ID175,1
206,ID97,ID394,24
207,ID97,ID395,23
208,ID394,ID97,24
209,ID394,ID403,3
210,ID395,ID97,23
211,ID395,ID403,3
212,ID403,ID394,3
213,ID403,ID395,3
214,ID42,ID246,1
215,ID42,ID394,9
216,ID42,ID487,9
217,ID246,ID42,1
218,ID394,ID42,9
219,ID487,ID42,9
220,ID96,ID395,7
221,ID395,ID96,7
222,ID96,ID392,1
223,ID96,ID465,1
224,ID371,ID392,4
225,ID371,ID465,3
226,ID392,ID96,1
227,ID392,ID371,4
228,ID392,ID465,2
229,ID465,ID96,1
230,ID465,ID371,3
231,ID465,ID392,2
232,ID16,ID234,1
233,ID234,ID16,1
234,ID392,ID508,3
235,ID508,ID392,3
236,ID133,ID373,2
237,ID373,ID133,2
238,ID96,ID373,7
239,ID373,ID96,7
240,ID341,ID395,87
241,ID371,ID395,31
242,ID395,ID341,87
243,ID395,ID371,31
244,ID96,ID396,2
245,ID373,ID396,3
246,ID396,ID96,2
247,ID396,ID373,3
248,ID96,ID234,1
249,ID234,ID96,1
250,ID234,ID371,10
251,ID371,ID234,10
252,ID7,ID131,1
253,ID131,ID7,1
254,ID371,ID452,2
255,ID452,ID371,2
256,ID358,ID373,2
257,ID373,ID358,2
258,ID369,ID487,5
259,ID487,ID369,5
260,ID269,ID394,14
261,ID349,ID394,4
262,ID394,ID269,14
263,ID394,ID349,4
264,ID7,ID28,1
265,ID28,ID7,1
266,ID175,ID373,3
267,ID175,ID465,2
268,ID373,ID175,3
269,ID373,ID465,6
270,ID465,ID175,2
271,ID465,ID373,6
272,ID191,ID456,1
273,ID456,ID191,1
274,ID234,ID321,1
275,ID321,ID234,1
276,ID97,ID269,9
277,ID97,ID349,6
278,ID97,ID454,23
279,ID269,ID97,9
280,ID269,ID454,27
281,ID349,ID97,6
282,ID349,ID454,3
283,ID454,ID97,23
284,ID454,ID269,27
285,ID454,ID349,3
286,ID369,ID373,7
287,ID373,ID369,7
288,ID97,ID246,2
289,ID97,ID487,64
290,ID246,ID97,2
291,ID487,ID97,64
292,ID97,ID508,4
293,ID508,ID97,4
294,ID18,ID28,1
295,ID28,ID18,1
296,ID42,ID508,1
297,ID508,ID42,1
298,ID40,ID373,5
299,ID78,ID373,1
300,ID149,ID373,28
301,ID364,ID373,16
302,ID373,ID40,5
303,ID373,ID78,1
304,ID373,ID149,28
305,ID373,ID364,16
306,ID373,ID451,25
307,ID373,ID454,128
308,ID451,ID373,25
309,ID454,ID373,128
310,ID7,ID96,3
311,ID7,ID371,24
312,ID96,ID7,3
313,ID371,ID7,24
314,ID178,ID466,2
315,ID466,ID178,2
316,ID265,ID392,3
317,ID265,ID394,4
318,ID392,ID265,3
319,ID392,ID394,13
320,ID394,ID265,4
321,ID394,ID392,13
322,ID33,ID369,1
323,ID369,ID33,1
324,ID42,ID96,2
325,ID42,ID371,2
326,ID96,ID42,2
327,ID371,ID42,2
328,ID229,ID483,1
329,ID483,ID229,1
330,ID7,ID457,1
331,ID457,ID7,1
332,ID341,ID369,14
333,ID369,ID341,14
334,ID7,ID16,2
335,ID7,ID465,5
336,ID16,ID7,2
337,ID16,ID465,1
338,ID465,ID7,5
339,ID465,ID16,1
340,ID7,ID341,76
341,ID16,ID487,1
342,ID341,ID7,76
343,ID341,ID487,241
344,ID487,ID16,1
345,ID487,ID341,241
346,ID149,ID265,1
347,ID265,ID149,1
348,ID369,ID415,5
349,ID415,ID369,5
350,ID96,ID415,2
351,ID371,ID415,13
352,ID373,ID415,18
353,ID415,ID96,2
354,ID415,ID371,13
355,ID415,ID373,18
356,ID33,ID191,1
357,ID33,ID371,2
358,ID33,ID395,6
359,ID191,ID33,1
360,ID371,ID33,2
361,ID395,ID33,6
362,ID234,ID457,3
363,ID457,ID234,3
364,ID265,ID428,3
365,ID428,ID265,3
366,ID263,ID428,5
367,ID263,ID465,3
368,ID428,ID263,5
369,ID428,ID465,3
370,ID465,ID263,3
371,ID465,ID428,3
372,ID395,ID415,25
373,ID415,ID395,25
374,ID7,ID369,4
375,ID369,ID7,4
376,ID16,ID373,1
377,ID373,ID16,1
378,ID51,ID371,17
379,ID371,ID51,17
380,ID246,ID392,2
381,ID392,ID246,2
382,ID392,ID487,13
383,ID487,ID392,13
384,ID191,ID356,1
385,ID341,ID356,11
386,ID356,ID191,1
387,ID356,ID341,11
388,ID133,ID509,1
389,ID509,ID133,1
390,ID51,ID465,5
391,ID465,ID51,5
392,ID96,ID229,1
393,ID229,ID96,1
394,ID96,ID314,1
395,ID314,ID96,1
396,ID314,ID371,1
397,ID371,ID314,1
398,ID341,ID392,16
399,ID369,ID392,1
400,ID392,ID341,16
401,ID392,ID369,1
402,ID51,ID394,11
403,ID394,ID51,11
404,ID42,ID369,1
405,ID369,ID42,1
406,ID395,ID495,7
407,ID495,ID395,7
408,ID42,ID341,7
409,ID341,ID42,7
410,ID97,ID265,17
411,ID265,ID97,17
412,ID51,ID487,2
413,ID487,ID51,2
414,ID263,ID373,4
415,ID263,ID394,9
416,ID373,ID263,4
417,ID394,ID263,9
418,ID246,ID341,2
419,ID341,ID246,2
420,ID133,ID341,5
421,ID341,ID133,5
422,ID234,ID265,1
423,ID265,ID234,1
424,ID51,ID395,6
425,ID395,ID51,6
426,ID178,ID487,1
427,ID487,ID178,1
428,ID265,ID373,5
429,ID373,ID265,5
430,ID373,ID407,3
431,ID407,ID373,3
432,ID175,ID341,1
433,ID341,ID175,1
434,ID133,ID394,2
435,ID394,ID133,2
436,ID341,ID407,9
437,ID407,ID341,9
438,ID407,ID456,1
439,ID456,ID407,1
440,ID265,ID395,2
441,ID395,ID265,2
442,ID25,ID54,1
443,ID25,ID110,1
444,ID25,ID149,1
445,ID25,ID278,1
446,ID25,ID371,1
447,ID54,ID25,1
448,ID54,ID110,4
449,ID54,ID149,18
450,ID54,ID278,4
451,ID54,ID371,18
452,ID110,ID25,1
453,ID110,ID54,4
454,ID110,ID149,2
455,ID110,ID278,1
456,ID110,ID371,3
457,ID149,ID25,1
458,ID149,ID54,18
459,ID149,ID110,2
460,ID149,ID278,8
461,ID149,ID371,17
462,ID278,ID25,1
463,ID278,ID54,4
464,ID278,ID110,1
465,ID278,ID149,8
466,ID278,ID371,2
467,ID371,ID25,1
468,ID371,ID54,18
469,ID371,ID110,3
470,ID371,ID149,17
471,ID371,ID278,2
472,ID191,ID465,2
473,ID341,ID465,5
474,ID465,ID191,2
475,ID465,ID341,5
476,ID97,ID278,2
477,ID278,ID97,2
478,ID278,ID403,1
479,ID403,ID278,1
480,ID51,ID373,6
481,ID373,ID51,6
482,ID7,ID265,2
483,ID265,ID7,2
484,ID7,ID394,62
485,ID394,ID7,62
486,ID42,ID407,2
487,ID407,ID42,2
488,ID265,ID341,15
489,ID341,ID265,15
490,ID407,ID415,3
491,ID415,ID407,3
492,ID394,ID407,4
493,ID407,ID394,4
494,ID110,ID373,17
495,ID110,ID395,5
496,ID373,ID110,17
497,ID395,ID110,5
498,ID110,ID394,8
499,ID394,ID110,8
500,ID110,ID341,8
501,ID341,ID110,8
502,ID97,ID98,8
503,ID97,ID341,43
504,ID98,ID97,8
505,ID98,ID265,1
506,ID98,ID341,24
507,ID265,ID98,1
508,ID341,ID97,43
509,ID341,ID98,24
510,ID229,ID457,1
511,ID457,ID229,1
512,ID54,ID212,1
513,ID54,ID373,8
514,ID54,ID454,50
515,ID110,ID212,1
516,ID110,ID454,1
517,ID212,ID54,1
518,ID212,ID110,1
519,ID212,ID373,2
520,ID212,ID454,4
521,ID373,ID54,8
522,ID373,ID212,2
523,ID454,ID54,50
524,ID454,ID110,1
525,ID454,ID212,4
526,ID110,ID466,2
527,ID373,ID466,61
528,ID466,ID110,2
529,ID466,ID373,61
530,ID96,ID487,1
531,ID487,ID96,1
532,ID37,ID392,5
533,ID392,ID37,5
534,ID37,ID341,11
535,ID341,ID37,11
536,ID37,ID395,9
537,ID395,ID37,9
538,ID97,ID428,10
539,ID428,ID97,10
540,ID341,ID403,5
541,ID403,ID341,5
542,ID7,ID51,4
543,ID7,ID234,22
544,ID51,ID7,4
545,ID51,ID234,4
546,ID234,ID7,22
547,ID234,ID51,4
548,ID263,ID271,1
549,ID271,ID263,1
550,ID271,ID428,4
551,ID428,ID271,4
552,ID341,ID358,1
553,ID358,ID341,1
554,ID127,ID373,2
555,ID373,ID127,2
556,ID37,ID487,6
557,ID487,ID37,6
558,ID51,ID341,6
559,ID341,ID51,6
560,ID373,ID483,1
561,ID483,ID373,1
562,ID37,ID373,10
563,ID373,ID37,10
564,ID7,ID110,3
565,ID110,ID7,3
566,ID415,ID457,5
567,ID457,ID415,5
568,ID394,ID473,7
569,ID473,ID394,7
570,ID133,ID454,1
571,ID454,ID133,1
572,ID7,ID191,1
573,ID7,ID415,24
574,ID191,ID7,1
575,ID415,ID7,24
576,ID127,ID428,1
577,ID428,ID127,1
578,ID127,ID394,3
579,ID394,ID127,3
580,ID127,ID341,2
581,ID341,ID127,2
582,ID394,ID483,2
583,ID483,ID394,2
584,ID407,ID465,1
585,ID465,ID407,1
586,ID7,ID97,37
587,ID7,ID127,1
588,ID97,ID7,37
589,ID97,ID127,1
590,ID127,ID7,1
591,ID127,ID97,1
592,ID97,ID495,9
593,ID394,ID495,9
594,ID495,ID97,9
595,ID495,ID394,9
596,ID133,ID395,3
597,ID395,ID133,3
598,ID37,ID394,9
599,ID394,ID37,9
600,ID7,ID79,4
601,ID79,ID7,4
602,ID79,ID371,32
603,ID371,ID79,32
604,ID395,ID407,3
605,ID407,ID395,3
606,ID21,ID457,1
607,ID457,ID21,1
608,ID98,ID263,2
609,ID263,ID98,2
610,ID98,ID394,26
611,ID394,ID98,26
612,ID79,ID394,13
613,ID394,ID79,13
614,ID223,ID265,1
615,ID223,ID341,1
616,ID223,ID395,1
617,ID265,ID223,1
618,ID341,ID223,1
619,ID395,ID223,1
620,ID373,ID495,9
621,ID495,ID373,9
622,ID21,ID282,200
623,ID21,ID392,14
624,ID282,ID21,200
625,ID282,ID392,3
626,ID392,ID21,14
627,ID392,ID282,3
628,ID7,ID37,4
629,ID37,ID7,4
630,ID110,ID415,5
631,ID415,ID110,5
632,ID341,ID415,33
633,ID415,ID341,33
634,ID21,ID373,65
635,ID21,ID395,75
636,ID21,ID421,120
637,ID373,ID21,65
638,ID373,ID421,11
639,ID395,ID21,75
640,ID395,ID421,11
641,ID421,ID21,120
642,ID421,ID373,11
643,ID421,ID395,11
644,ID341,ID396,3
645,ID371,ID396,2
646,ID394,ID396,3
647,ID396,ID341,3
648,ID396,ID371,2
649,ID396,ID394,3
650,ID21,ID509,22
651,ID282,ID509,2
652,ID509,ID21,22
653,ID509,ID282,2
654,ID110,ID392,4
655,ID392,ID110,4
656,ID392,ID395,12
657,ID395,ID392,12
658,ID234,ID341,17
659,ID234,ID369,2
660,ID341,ID234,17
661,ID369,ID234,2
662,ID373,ID392,10
663,ID392,ID373,10
664,ID246,ID331,1
665,ID331,ID246,1
666,ID331,ID487,29
667,ID487,ID331,29
668,ID341,ID473,14
669,ID415,ID473,14
670,ID473,ID341,14
671,ID473,ID415,14
672,ID331,ID373,6
673,ID331,ID398,107
674,ID373,ID331,6
675,ID373,ID398,6
676,ID398,ID331,107
677,ID398,ID373,6
678,ID331,ID341,14
679,ID331,ID394,5
680,ID341,ID331,14
681,ID341,ID398,10
682,ID394,ID331,5
683,ID394,ID398,4
684,ID398,ID341,10
685,ID398,ID394,4
686,ID331,ID395,6
687,ID395,ID331,6
688,ID395,ID398,6
689,ID398,ID395,6
690,ID331,ID428,1
691,ID398,ID428,1
692,ID428,ID331,1
693,ID428,ID398,1
694,ID79,ID341,10
695,ID341,ID79,10
696,ID127,ID371,1
697,ID371,ID127,1
698,ID79,ID395,11
699,ID395,ID79,11
700,ID392,ID473,4
701,ID473,ID392,4
702,ID234,ID331,5
703,ID234,ID398,3
704,ID331,ID234,5
705,ID398,ID234,3
706,ID395,ID473,5
707,ID473,ID395,5
708,ID329,ID373,18
709,ID373,ID329,18
710,ID21,ID415,14
711,ID282,ID415,2
712,ID415,ID21,14
713,ID415,ID282,2
714,ID98,ID329,4
715,ID98,ID373,14
716,ID98,ID392,2
717,ID329,ID98,4
718,ID329,ID341,23
719,ID329,ID392,2
720,ID341,ID329,23
721,ID373,ID98,14
722,ID392,ID98,2
723,ID392,ID329,2
724,ID415,ID495,2
725,ID495,ID415,2
726,ID428,ID508,1
727,ID508,ID428,1
728,ID21,ID234,14
729,ID234,ID21,14
730,ID234,ID282,5
731,ID234,ID395,13
732,ID282,ID234,5
733,ID282,ID395,17
734,ID395,ID234,13
735,ID395,ID282,17
736,ID373,ID473,9
737,ID473,ID373,9
738,ID271,ID329,4
739,ID329,ID271,4
740,ID329,ID394,34
741,ID394,ID329,34
742,ID7,ID331,5
743,ID7,ID398,2
744,ID331,ID7,5
745,ID398,ID7,2
746,ID21,ID371,25
747,ID282,ID371,3
748,ID371,ID21,25
749,ID371,ID282,3
750,ID341,ID495,10
751,ID495,ID341,10
752,ID79,ID249,7
753,ID249,ID79,7
754,ID249,ID371,10
755,ID371,ID249,10
756,ID7,ID21,82
757,ID7,ID392,13
758,ID7,ID421,6
759,ID21,ID7,82
760,ID21,ID394,48
761,ID392,ID7,13
762,ID392,ID421,2
763,ID394,ID21,48
764,ID394,ID421,2
765,ID421,ID7,6
766,ID421,ID392,2
767,ID421,ID394,2
768,ID329,ID395,11
769,ID395,ID329,11
770,ID394,ID415,21
771,ID415,ID394,21
772,ID229,ID473,1
773,ID473,ID229,1
774,ID415,ID465,4
775,ID465,ID415,4
776,ID465,ID473,1
777,ID473,ID465,1
778,ID331,ID415,2
779,ID398,ID415,1
780,ID415,ID331,2
781,ID415,ID398,1
782,ID229,ID329,2
783,ID229,ID394,13
784,ID329,ID229,2
785,ID394,ID229,13
786,ID331,ID392,1
787,ID392,ID331,1
788,ID392,ID398,1
789,ID398,ID392,1
790,ID329,ID487,9
791,ID487,ID329,9
792,ID282,ID373,16
793,ID373,ID282,16
794,ID133,ID229,1
795,ID229,ID133,1
796,ID21,ID438,12
797,ID21,ID487,190
798,ID421,ID438,4
799,ID421,ID487,1
800,ID438,ID21,12
801,ID438,ID421,4
802,ID438,ID487,20
803,ID487,ID21,190
804,ID487,ID421,1
805,ID487,ID438,20
806,ID234,ID269,8
807,ID234,ID349,1
808,ID234,ID373,11
809,ID269,ID234,8
810,ID349,ID234,1
811,ID373,ID234,11
812,ID331,ID465,1
813,ID394,ID465,10
814,ID398,ID465,1
815,ID465,ID331,1
816,ID465,ID394,10
817,ID465,ID398,1
818,ID21,ID465,10
819,ID282,ID394,10
820,ID282,ID465,5
821,ID394,ID282,10
822,ID465,ID21,10
823,ID465,ID282,5
824,ID398,ID487,1
825,ID487,ID398,1
826,ID51,ID184,2
827,ID184,ID51,2
828,ID79,ID373,7
829,ID373,ID79,7
830,ID51,ID456,1
831,ID456,ID51,1
832,ID395,ID465,8
833,ID465,ID395,8
834,ID7,ID282,3
835,ID282,ID7,3
836,ID7,ID329,2
837,ID329,ID7,2
838,ID18,ID126,2
839,ID126,ID18,2
840,ID21,ID54,36
841,ID54,ID21,36
842,ID54,ID282,2
843,ID54,ID394,11
844,ID282,ID54,2
845,ID394,ID54,11
846,ID21,ID42,4
847,ID42,ID21,4
848,ID42,ID282,1
849,ID42,ID395,3
850,ID282,ID42,1
851,ID395,ID42,3
852,ID133,ID487,1
853,ID487,ID133,1
854,ID37,ID229,3
855,ID229,ID37,3
856,ID229,ID392,4
857,ID392,ID229,4
858,ID371,ID473,4
859,ID473,ID371,4
860,ID133,ID234,2
861,ID133,ID465,1
862,ID234,ID133,2
863,ID234,ID465,3
864,ID465,ID133,1
865,ID465,ID234,3
866,ID21,ID341,90
867,ID341,ID21,90
868,ID341,ID421,11
869,ID421,ID341,11
870,ID79,ID234,1
871,ID234,ID79,1
872,ID21,ID454,157
873,ID421,ID454,4
874,ID454,ID21,157
875,ID454,ID421,4
876,ID234,ID508,1
877,ID508,ID234,1
878,ID282,ID341,13
879,ID341,ID282,13
880,ID315,ID394,3
881,ID394,ID315,3
882,ID234,ID473,2
883,ID473,ID234,2
884,ID315,ID341,7
885,ID315,ID373,4
886,ID341,ID315,7
887,ID373,ID315,4
888,ID7,ID473,4
889,ID473,ID7,4
890,ID98,ID395,13
891,ID98,ID487,35
892,ID98,ID495,3
893,ID395,ID98,13
894,ID487,ID98,35
895,ID487,ID495,1
896,ID495,ID98,3
897,ID495,ID487,1
898,ID234,ID263,3
899,ID263,ID234,3
900,ID271,ID395,9
901,ID395,ID271,9
902,ID234,ID315,1
903,ID234,ID394,18
904,ID315,ID234,1
905,ID394,ID234,18
906,ID403,ID428,2
907,ID428,ID403,2
908,ID33,ID51,1
909,ID51,ID33,1
910,ID7,ID495,4
911,ID495,ID7,4
912,ID126,ID149,19
913,ID126,ID341,28
914,ID126,ID371,11
915,ID126,ID395,12
916,ID149,ID126,19
917,ID149,ID341,42
918,ID149,ID395,39
919,ID341,ID126,28
920,ID341,ID149,42
921,ID371,ID126,11
922,ID395,ID126,12
923,ID395,ID149,39
924,ID7,ID148,6
925,ID21,ID148,2
926,ID148,ID7,6
927,ID148,ID21,2
928,ID148,ID421,1
929,ID421,ID148,1
930,ID385,ID394,3
931,ID394,ID385,3
932,ID110,ID297,1
933,ID149,ID297,21
934,ID297,ID110,1
935,ID297,ID149,21
936,ID373,ID457,3
937,ID457,ID373,3
938,ID126,ID394,16
939,ID394,ID126,16
940,ID371,ID495,1
941,ID495,ID371,1
942,ID98,ID126,2
943,ID126,ID98,2
944,ID341,ID385,1
945,ID385,ID341,1
946,ID348,ID451,175
947,ID451,ID348,175
948,ID126,ID373,13
949,ID373,ID126,13
950,ID7,ID315,3
951,ID315,ID7,3
952,ID149,ID495,2
953,ID495,ID149,2
954,ID263,ID395,2
955,ID395,ID263,2
956,ID97,ID465,6
957,ID403,ID465,1
958,ID465,ID97,6
959,ID465,ID403,1
960,ID33,ID271,2
961,ID33,ID315,1
962,ID271,ID33,2
963,ID271,ID315,1
964,ID315,ID33,1
965,ID315,ID271,1
966,ID42,ID51,1
967,ID51,ID42,1
968,ID79,ID113,1
969,ID113,ID79,1
970,ID7,ID365,7
971,ID21,ID365,7
972,ID365,ID7,7
973,ID365,ID21,7
974,ID365,ID421,3
975,ID421,ID365,3
976,ID389,ID392,2
977,ID392,ID389,2
978,ID7,ID389,6
979,ID389,ID7,6
980,ID454,ID473,1
981,ID473,ID454,1
982,ID98,ID348,2
983,ID98,ID451,15
984,ID348,ID98,2
985,ID348,ID395,9
986,ID395,ID348,9
987,ID395,ID451,31
988,ID451,ID98,15
989,ID451,ID395,31
990,ID79,ID229,1
991,ID229,ID79,1
992,ID229,ID341,10
993,ID341,ID229,10
994,ID371,ID483,1
995,ID483,ID371,1
996,ID21,ID143,200
997,ID143,ID21,200
998,ID143,ID373,8
999,ID143,ID394,8
1000,ID143,ID395,8
1001,ID373,ID143,8
1002,ID394,ID143,8
1003,ID395,ID143,8
1004,ID315,ID395,1
1005,ID315,ID509,1
1006,ID395,ID315,1
1007,ID395,ID509,26
1008,ID509,ID315,1
1009,ID509,ID395,26
1010,ID67,ID373,1
1011,ID373,ID67,1
1012,ID341,ID389,17
1013,ID373,ID389,6
1014,ID389,ID341,17
1015,ID389,ID373,6
1016,ID389,ID395,6
1017,ID395,ID389,6
1018,ID79,ID248,1
1019,ID248,ID79,1
1020,ID7,ID428,9
1021,ID7,ID454,121
1022,ID315,ID428,2
1023,ID315,ID454,1
1024,ID428,ID7,9
1025,ID428,ID315,2
1026,ID428,ID454,9
1027,ID454,ID7,121
1028,ID454,ID315,1
1029,ID454,ID428,9
1030,ID465,ID495,3
1031,ID495,ID465,3
1032,ID67,ID341,2
1033,ID341,ID67,2
1034,ID258,ID392,1
1035,ID392,ID258,1
1036,ID194,ID454,1
1037,ID454,ID194,1
1038,ID98,ID257,2
1039,ID257,ID98,2
1040,ID257,ID394,3
1041,ID394,ID257,3
1042,ID257,ID396,1
1043,ID396,ID257,1
1044,ID99,ID395,2
1045,ID395,ID99,2
1046,ID282,ID487,1
1047,ID487,ID282,1
1048,ID7,ID347,2
1049,ID347,ID7,2
1050,ID126,ID487,4
1051,ID487,ID126,4
1052,ID341,ID428,5
1053,ID428,ID341,5
1054,ID99,ID341,1
1055,ID99,ID394,2
1056,ID341,ID99,1
1057,ID394,ID99,2
1058,ID51,ID466,1
1059,ID466,ID51,1
1060,ID389,ID394,15
1061,ID394,ID389,15
1062,ID98,ID369,1
1063,ID98,ID371,6
1064,ID369,ID98,1
1065,ID371,ID98,6
1066,ID371,ID487,53
1067,ID487,ID371,53
1068,ID341,ID347,10
1069,ID347,ID341,10
1070,ID271,ID389,1
1071,ID389,ID271,1
1072,ID7,ID99,2
1073,ID99,ID7,2
1074,ID99,ID271,1
1075,ID271,ID99,1
1076,ID348,ID373,18
1077,ID348,ID394,6
1078,ID373,ID348,18
1079,ID394,ID348,6
1080,ID394,ID451,25
1081,ID451,ID394,25
1082,ID149,ID394,38
1083,ID394,ID149,38
1084,ID75,ID508,1
1085,ID508,ID75,1
1086,ID341,ID457,2
1087,ID457,ID341,2
1088,ID395,ID457,1
1089,ID457,ID395,1
1090,ID394,ID509,25
1091,ID465,ID509,3
1092,ID509,ID394,25
1093,ID509,ID465,3
1094,ID99,ID465,1
1095,ID465,ID99,1
1096,ID389,ID509,1
1097,ID509,ID389,1
1098,ID341,ID366,9
1099,ID366,ID341,9
1100,ID21,ID229,8
1101,ID54,ID143,2
1102,ID54,ID229,4
1103,ID143,ID54,2
1104,ID143,ID229,1
1105,ID229,ID21,8
1106,ID229,ID54,4
1107,ID229,ID143,1
1108,ID229,ID373,8
1109,ID373,ID229,8
1110,ID54,ID348,1
1111,ID54,ID451,13
1112,ID348,ID54,1
1113,ID451,ID54,13
1114,ID54,ID421,1
1115,ID421,ID54,1
1116,ID389,ID415,4
1117,ID415,ID389,4
1118,ID473,ID487,3
1119,ID487,ID473,3
1120,ID392,ID506,2
1121,ID506,ID392,2
1122,ID348,ID371,4
1123,ID371,ID348,4
1124,ID371,ID451,12
1125,ID451,ID371,12
1126,ID394,ID506,3
1127,ID506,ID394,3
1128,ID229,ID487,20
1129,ID487,ID229,20
1130,ID110,ID451,1
1131,ID341,ID451,34
1132,ID451,ID110,1
1133,ID451,ID341,34
1134,ID97,ID176,80
1135,ID97,ID234,8
1136,ID97,ID371,9
1137,ID176,ID97,80
1138,ID176,ID234,3
1139,ID176,ID341,3
1140,ID176,ID371,3
1141,ID234,ID97,8
1142,ID234,ID176,3
1143,ID341,ID176,3
1144,ID371,ID97,9
1145,ID371,ID176,3
1146,ID79,ID487,1
1147,ID487,ID79,1
1148,ID143,ID371,6
1149,ID143,ID392,1
1150,ID371,ID143,6
