语料ID,产品ID,产品名称
餐饮评论-1230,ID230,小乔紫菜卷（小乔店）
餐饮评论-1231,ID231,盛香烧鹅（东方市场店）
餐饮评论-1232,ID232,优乐堡（开发区店）
餐饮评论-1233,ID233,清香面包店（车田街店）
餐饮评论-1234,ID234,果之度（迎宾三路店）
餐饮评论-1235,ID235,盛香烧鹅（东方市场店）
餐饮评论-1236,ID236,盛香烧鹅（东方市场店）
餐饮评论-1237,ID237,盛香烧鹅（东方市场店）
餐饮评论-1238,ID238,盛香烧鹅（东方市场店）
餐饮评论-1239,ID239,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1240,ID240,清香面包店（车田街店）
餐饮评论-1241,ID241,爱可咖啡馆（茂南店）
餐饮评论-1242,ID242,果之度（为民店）
餐饮评论-1243,ID243,尊霸披萨
餐饮评论-1244,ID244,果之度（为民店）
餐饮评论-1245,ID245,清香面包店（车田街店）
餐饮评论-1246,ID246,优之品西点
餐饮评论-1247,ID247,丰年面包店（茂南区店）
餐饮评论-1248,ID248,功夫鸡排（光华北路店）
餐饮评论-1249,ID249,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1250,ID250,小乔紫菜卷（小乔店）
餐饮评论-1251,ID251,鲜饮时光（高州店）
餐饮评论-1252,ID252,优之品西点
餐饮评论-1253,ID253,清香面包店（车田街店）
餐饮评论-1254,ID254,甜在心扉千层蛋糕（茂名店）
餐饮评论-1255,ID255,果之度（迎宾三路店）
餐饮评论-1256,ID256,清香面包店（车田街店）
餐饮评论-1257,ID257,鲜饮时光（高州店）
餐饮评论-1258,ID258,清香面包店（车田街店）
餐饮评论-1259,ID259,果之度（为民店）
餐饮评论-1260,ID260,清香面包店（车田街店）
餐饮评论-1261,ID261,清香面包店（车田街店）
餐饮评论-1262,ID262,甜在心扉千层蛋糕（茂名店）
餐饮评论-1263,ID263,清香面包店（车田街店）
餐饮评论-1264,ID264,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1265,ID265,优之品西点
餐饮评论-1266,ID266,果之度（为民店）
餐饮评论-1267,ID267,丰年面包店（茂南区店）
餐饮评论-1268,ID268,盛香烧鹅（东方市场店）
餐饮评论-1269,ID269,优之品西点
餐饮评论-1270,ID270,清香面包店（车田街店）
餐饮评论-1271,ID271,盛香烧鹅（东方市场店）
餐饮评论-1272,ID272,果之度（为民店）
餐饮评论-1273,ID273,清香面包店（车田街店）
餐饮评论-1274,ID274,优乐堡（开发区店）
餐饮评论-1275,ID275,旺角亭（为民店）
餐饮评论-1276,ID276,盛香烧鹅（东方市场店）
餐饮评论-1277,ID277,优乐堡（开发区店）
餐饮评论-1278,ID278,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1279,ID279,小乔紫菜卷（小乔店）
餐饮评论-1280,ID280,旺角亭（为民店）
餐饮评论-1281,ID281,果之度（为民店）
餐饮评论-1282,ID282,爱可咖啡馆（茂南店）
餐饮评论-1283,ID283,爱可咖啡馆（茂南店）
餐饮评论-1284,ID284,果之度（为民店）
餐饮评论-1285,ID285,果之度（为民店）
餐饮评论-1286,ID286,清香面包店（车田街店）
餐饮评论-1287,ID287,盛香烧鹅（东方市场店）
餐饮评论-1288,ID288,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1289,ID289,清香面包店（车田街店）
餐饮评论-1290,ID290,清香面包店（车田街店）
餐饮评论-1291,ID291,果之度（为民店）
餐饮评论-1292,ID292,优之品西点
餐饮评论-1293,ID293,小乔紫菜卷（小乔店）
餐饮评论-1294,ID294,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1295,ID295,清香面包店（车田街店）
餐饮评论-1296,ID296,丰年面包店（茂南区店）
餐饮评论-1297,ID297,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1298,ID298,优之品西点
餐饮评论-1299,ID299,爱可咖啡馆（茂南店）
餐饮评论-1300,ID300,爱可咖啡馆（茂南店）
餐饮评论-1301,ID301,功夫鸡排（光华北路店）
餐饮评论-1302,ID302,优之品西点
餐饮评论-1303,ID303,小乔紫菜卷（小乔店）
餐饮评论-1304,ID304,果之度（为民店）
餐饮评论-1305,ID305,清香面包店（车田街店）
餐饮评论-1306,ID306,瀛食精致料理
餐饮评论-1307,ID307,清香面包店（车田街店）
餐饮评论-1308,ID308,清香面包店（车田街店）
餐饮评论-1309,ID309,果之度（为民店）
餐饮评论-1310,ID310,清香面包店（车田街店）
餐饮评论-1311,ID311,甜在心扉千层蛋糕（茂名店）
餐饮评论-1312,ID312,旺角亭（为民店）
餐饮评论-1313,ID313,茂香面包坊总店
餐饮评论-1314,ID314,爱丽丝音乐餐吧
餐饮评论-1315,ID315,清香面包店（车田街店）
餐饮评论-1316,ID316,盛香烧鹅（东方市场店）
餐饮评论-1317,ID317,甜在心扉千层蛋糕（茂名店）
餐饮评论-1318,ID318,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1319,ID319,优乐堡（开发区店）
餐饮评论-1320,ID320,优之品西点
餐饮评论-1321,ID321,清香面包店（车田街店）
餐饮评论-1322,ID322,清香面包店（车田街店）
餐饮评论-1323,ID323,清香面包店（车田街店）
餐饮评论-1324,ID324,清香面包店（车田街店）
餐饮评论-1325,ID325,甜在心扉千层蛋糕（茂名店）
餐饮评论-1326,ID326,优之品西点
餐饮评论-1327,ID327,甜在心扉千层蛋糕（茂名店）
餐饮评论-1328,ID328,优乐堡（开发区店）
餐饮评论-1329,ID329,清香面包店（车田街店）
餐饮评论-1330,ID330,清香面包店（车田街店）
餐饮评论-1331,ID331,果之度（为民店）
餐饮评论-1332,ID332,爱可咖啡馆（茂南店）
餐饮评论-1333,ID333,茂香面包坊总店
餐饮评论-1334,ID334,小乔紫菜卷（小乔店）
餐饮评论-1335,ID335,清香面包店（车田街店）
餐饮评论-1336,ID336,功夫鸡排（光华北路店）
餐饮评论-1337,ID337,茂香面包坊总店
餐饮评论-1338,ID338,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1339,ID339,优之品西点
餐饮评论-1340,ID340,果之度（为民店）
餐饮评论-1341,ID341,尊霸披萨
餐饮评论-1342,ID342,优之品西点
餐饮评论-1343,ID343,果之度（为民店）
餐饮评论-1344,ID344,果之度（为民店）
餐饮评论-1345,ID345,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1346,ID346,优之品西点
餐饮评论-1347,ID347,果之度（为民店）
餐饮评论-1348,ID348,旺角亭（为民店）
餐饮评论-1349,ID349,果之度（为民店）
餐饮评论-1350,ID350,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1351,ID351,驰名湘菜馆
餐饮评论-1352,ID352,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1353,ID353,优乐堡（开发区店）
餐饮评论-1354,ID354,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1355,ID355,清香面包店（车田街店）
餐饮评论-1356,ID356,功夫鸡排（光华北路店）
餐饮评论-1357,ID357,茂香面包坊总店
餐饮评论-1358,ID358,小乔紫菜卷（小乔店）
餐饮评论-1359,ID359,果之度（为民店）
餐饮评论-1360,ID360,清香面包店（车田街店）
餐饮评论-1361,ID361,清香面包店（车田街店）
餐饮评论-1362,ID362,功夫鸡排（光华北路店）
餐饮评论-1363,ID363,优之品西点
餐饮评论-1364,ID364,优之品西点
餐饮评论-1365,ID365,功夫鸡排（光华北路店）
餐饮评论-1366,ID366,功夫鸡排（光华北路店）
餐饮评论-1367,ID367,甜在心扉千层蛋糕（茂名店）
餐饮评论-1368,ID368,盛香烧鹅（东方市场店）
餐饮评论-1369,ID369,甜在心扉千层蛋糕（茂名店）
餐饮评论-1370,ID370,盛香烧鹅（东方市场店）
餐饮评论-1371,ID371,盛香烧鹅（东方市场店）
餐饮评论-1372,ID372,优之品西点
餐饮评论-1373,ID373,小乔紫菜卷（小乔店）
餐饮评论-1374,ID374,小乔紫菜卷（小乔店）
餐饮评论-1375,ID375,小乔紫菜卷（小乔店）
餐饮评论-1376,ID376,清香面包店（车田街店）
餐饮评论-1377,ID377,尊霸披萨
餐饮评论-1378,ID378,果之度（为民店）
餐饮评论-1379,ID379,果之度（为民店）
餐饮评论-1380,ID380,尊霸披萨
餐饮评论-1381,ID381,尊霸披萨
餐饮评论-1382,ID382,甜在心扉千层蛋糕（茂名店）
餐饮评论-1383,ID383,甜在心扉千层蛋糕（茂名店）
餐饮评论-1384,ID384,果之度（迎宾三路店）
餐饮评论-1385,ID385,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1386,ID386,优之品西点
餐饮评论-1387,ID387,果之度（为民店）
餐饮评论-1388,ID388,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1389,ID389,旺角亭（为民店）
餐饮评论-1390,ID390,盛香烧鹅（东方市场店）
餐饮评论-1391,ID391,甜在心扉千层蛋糕（茂名店）
餐饮评论-1392,ID392,甜在心扉千层蛋糕（茂名店）
餐饮评论-1393,ID393,果之度（为民店）
餐饮评论-1394,ID394,甜在心扉千层蛋糕（茂名店）
餐饮评论-1395,ID395,爱丽丝音乐餐吧
餐饮评论-1396,ID396,爱丽丝音乐餐吧
餐饮评论-1397,ID397,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1398,ID398,优乐堡（开发区店）
餐饮评论-1399,ID399,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1400,ID400,旺角亭（为民店）
餐饮评论-1401,ID401,果之度（为民店）
餐饮评论-1402,ID402,甜在心扉千层蛋糕（茂名店）
餐饮评论-1403,ID403,果之度（为民店）
餐饮评论-1404,ID404,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1405,ID405,清香面包店（车田街店）
餐饮评论-1406,ID406,果之度（为民店）
餐饮评论-1407,ID407,盛香烧鹅（东方市场店）
餐饮评论-1408,ID408,盛香烧鹅（东方市场店）
餐饮评论-1409,ID409,优之品西点
餐饮评论-1410,ID410,果之度（为民店）
餐饮评论-1411,ID411,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1412,ID412,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1413,ID413,果之度（迎宾三路店）
餐饮评论-1414,ID414,优乐堡（开发区店）
餐饮评论-1415,ID415,小乔紫菜卷（小乔店）
餐饮评论-1416,ID416,驰名湘菜馆
餐饮评论-1417,ID417,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1418,ID418,功夫鸡排（光华北路店）
餐饮评论-1419,ID419,鲜饮时光（高州店）
餐饮评论-1420,ID420,甜在心扉千层蛋糕（茂名店）
餐饮评论-1421,ID421,优之品西点
餐饮评论-1422,ID422,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1423,ID423,甜在心扉千层蛋糕（茂名店）
餐饮评论-1424,ID424,优之品西点
餐饮评论-1425,ID425,果之度（为民店）
餐饮评论-1426,ID426,盛香烧鹅（东方市场店）
餐饮评论-1427,ID427,果之度（为民店）
餐饮评论-1428,ID428,优之品西点
餐饮评论-1429,ID429,优之品西点
餐饮评论-1430,ID430,清香面包店（车田街店）
餐饮评论-1431,ID431,果之度（迎宾三路店）
餐饮评论-1432,ID432,果之度（迎宾三路店）
餐饮评论-1433,ID433,渔乐码头烤鱼牛蛙晚饭餐厅
餐饮评论-1434,ID434,果之度（为民店）
餐饮评论-1435,ID435,旺角亭（为民店）
餐饮评论-1436,ID436,功夫鸡排（光华北路店）
餐饮评论-1437,ID437,爱丽丝音乐餐吧
餐饮评论-1438,ID438,清香面包店（车田街店）
餐饮评论-1439,ID439,果之度（为民店）
餐饮评论-1440,ID440,清香面包店（车田街店）
餐饮评论-1441,ID441,清香面包店（车田街店）
餐饮评论-1442,ID442,甜在心扉千层蛋糕（茂名店）
餐饮评论-1443,ID443,果之度（迎宾三路店）
餐饮评论-1444,ID444,小乔紫菜卷（小乔店）
餐饮评论-1445,ID445,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1446,ID446,爱可咖啡馆（茂南店）
餐饮评论-1447,ID447,甜在心扉千层蛋糕（茂名店）
餐饮评论-1448,ID448,甜在心扉千层蛋糕（茂名店）
餐饮评论-1449,ID449,爱可咖啡馆（茂南店）
餐饮评论-1450,ID450,果之度（迎宾三路店）
餐饮评论-1451,ID451,果之度（为民店）
餐饮评论-1452,ID452,果之度（为民店）
餐饮评论-1453,ID453,果之度（为民店）
餐饮评论-1454,ID454,小乔紫菜卷（小乔店）
餐饮评论-1455,ID455,甜在心扉千层蛋糕（茂名店）
餐饮评论-1456,ID456,优乐堡（开发区店）
餐饮评论-1457,ID457,果之度（为民店）
餐饮评论-1458,ID458,果之度（为民店）
餐饮评论-1459,ID459,旺角亭（为民店）
餐饮评论-1460,ID460,小乔紫菜卷（小乔店）
餐饮评论-1461,ID461,清香面包店（车田街店）
餐饮评论-1462,ID462,甜在心扉千层蛋糕（茂名店）
餐饮评论-1463,ID463,果之度（为民店）
餐饮评论-1464,ID464,爱可咖啡馆（茂南店）
餐饮评论-1465,ID465,盛香烧鹅（东方市场店）
餐饮评论-1466,ID466,瀛食精致料理
餐饮评论-1467,ID467,清香面包店（车田街店）
餐饮评论-1468,ID468,相聚时光（光明店）
餐饮评论-1469,ID469,爱可咖啡馆（茂南店）
餐饮评论-1470,ID470,相聚时光（光明店）
餐饮评论-1471,ID471,盛香烧鹅（东方市场店）
餐饮评论-1472,ID472,清香面包店（车田街店）
餐饮评论-1473,ID473,茂名浪漫海岸温德姆酒店望海餐厅
餐饮评论-1474,ID474,优乐堡（开发区店）
餐饮评论-1475,ID475,果之度（为民店）
餐饮评论-1476,ID476,清香面包店（车田街店）
餐饮评论-1477,ID477,尊霸披萨
餐饮评论-1478,ID478,盛香烧鹅（东方市场店）
餐饮评论-1479,ID479,鲜滋味蛋糕·季念日生日蛋糕（茂南区店）
餐饮评论-1480,ID480,果之度（为民店）
餐饮评论-1481,ID481,果之度（为民店）
餐饮评论-1482,ID482,果之度（为民店）
餐饮评论-1483,ID483,果之度（为民店）
餐饮评论-1484,ID484,果之度（为民店）
餐饮评论-1485,ID485,功夫鸡排（光华北路店）
餐饮评论-1486,ID486,优之品西点
餐饮评论-1487,ID487,优之品西点
餐饮评论-1488,ID488,小乔紫菜卷（小乔店）
餐饮评论-1489,ID489,相聚时光（光明店）
餐饮评论-1490,ID490,丰年面包店（茂南区店）
餐饮评论-1491,ID491,优乐堡（开发区店）
餐饮评论-1492,ID492,爱可咖啡馆（茂南店）
餐饮评论-1493,ID493,果之度（迎宾三路店）
餐饮评论-1494,ID494,功夫鸡排（光华北路店）
